Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0805_2012Metric,134.62,-72.39,0,top
C2,1uF,C_0805_2012Metric,181.61,-75.692,180,top
C3,10uF,C_0805_2012Metric,125.73,-80.01,0,top
C4,10uF,C_0805_2012Metric,138.43,-72.39,180,top
C5,10uF,C_0805_2012Metric,185.264303,-75.169275,180,top
C6,0.1uF,C_0805_2012Metric,185.264303,-72.629275,180,top
C7,22pF,C_0805_2012Metric,130.81,-100.33,180,top
C8,22pF,C_0805_2012Metric,143.51,-100.33,90,top
C9,0.1uF,C_0805_2012Metric,150.974303,-96.759275,180,top
C10,0.1uF,C_0805_2012Metric,150.974303,-99.299275,180,top
C11,0.1uF,C_0805_2012Metric,125.73,-82.55,180,top
C12,0.1uF,C_0805_2012Metric,146.05,-92.71,90,top
C13,0.1uF,C_0805_2012Metric,143.51,-92.71,90,top
C14,150pF,C_0805_2012Metric,143.51,-106.68,90,top
C15,150pF,C_0805_2012Metric,130.81,-105.41,90,top
C16,0.1uF,C_0805_2012Metric,143.51,-110.49,270,top
D1,1N5817,D_SOD-123,125.73,-73.66,0,top
D2,LED,LED_0805_2012Metric,161.29,-95.25,270,top
F1,300mA,Fuse_0603_1608Metric,125.73,-87.63,270,top
L1,15uH,SUNLORD_SWPA5020S_CZM,120.956989,-84.987279,0,top
L2,15uH,SUNLORD_SWPA5020S_CZM,118.11,-105.41,0,top
L3,15uH,SUNLORD_SWPA5020S_CZM,118.11,-99.06,0,top
L4,15uH,SUNLORD_SWPA5020S_CZM,120.956989,-91.337279,0,top
R1,10k,R_0805_2012Metric,182.372,-72.898,270,top
R2,10k,R_0805_2012Metric,135.89,-110.49,0,top
R3,10k,R_0805_2012Metric,128.27,-89.8125,270,top
R4,60,R_0805_2012Metric,128.27,-109.22,270,top
R5,60,R_0805_2012Metric,128.27,-105.41,270,top
R6,1k,R_0805_2012Metric,163.83,-95.25,90,top
SW1,SW_Push,SW_SPST_CK_RS282G05A3,162.404303,-85.329275,90,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,135.89,-80.01,0,top
U3,ESP32-WROOM-32,ESP32-WROOM-32,177.644303,-86.599275,270,top
U4,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,135.89,-91.44,90,top
U5,MCP2551-I-SN,SOIC-8_3.9x4.9mm_P1.27mm,137.16,-106.68,180,top
U6,LSF0204PWR,SOP65P640X120-14N,152.244303,-90.409275,90,top
Y1,8Mhz,Crystal_SMD_5032-2Pin_5.0x3.2mm,136.652821,-100.487227,180,top